fecha,euro
1999-01-05,1.1685
1999-01-06,1.1788
1999-01-07,1.179
1999-01-08,1.175
1999-01-11,1.1663
1999-01-12,1.1651
1999-01-13,1.1575
1999-01-14,1.1495
1999-01-15,1.1709
1999-01-18,1.1649
1999-01-19,1.1683
1999-01-20,1.1604
1999-01-21,1.1614
1999-01-22,1.1582
1999-01-25,1.1561
1999-01-26,1.1575
1999-01-27,1.1596
1999-01-28,1.1571
1999-01-29,1.149
1999-02-01,1.1392
1999-02-02,1.138
1999-02-03,1.1364
1999-02-04,1.1304
1999-02-05,1.1346
1999-02-08,1.1261
1999-02-09,1.1303
1999-02-10,1.1254
1999-02-11,1.1335
1999-02-12,1.1328
1999-02-15,1.1328
1999-02-16,1.1315
1999-02-17,1.1315
1999-02-18,1.1315
1999-02-19,1.1228
1999-02-22,1.1225
1999-02-23,1.1162
1999-02-24,1.0985
1999-02-25,1.0984
1999-02-26,1.1032
1999-03-01,1.1032
1999-03-02,1.103
1999-03-03,1.0991
1999-03-04,1.0859
1999-03-05,1.0906
1999-03-08,1.0844
1999-03-09,1.0838
1999-03-10,1.0888
1999-03-11,1.0863
1999-03-12,1.0956
1999-03-15,1.0895
1999-03-16,1.092
1999-03-17,1.0944
1999-03-18,1.0867
1999-03-19,1.0957
1999-03-22,1.1006
1999-03-23,1.096
1999-03-24,1.0861
1999-03-25,1.0895
1999-03-26,1.0924
1999-03-29,1.0891
1999-03-30,1.081
1999-03-31,1.0691
1999-04-01,1.0712
1999-04-02,1.0751
1999-04-05,1.0791
1999-04-06,1.0791
1999-04-07,1.0729
1999-04-08,1.0735
1999-04-09,1.0806
1999-04-12,1.083
1999-04-13,1.0794
1999-04-14,1.0858
1999-04-15,1.0773
1999-04-16,1.0803
1999-04-19,1.0785
1999-04-20,1.0685
1999-04-21,1.0635
1999-04-22,1.0658
1999-04-23,1.0592
1999-04-26,1.0584
1999-04-27,1.0628
1999-04-28,1.061
1999-04-29,1.062
1999-04-30,1.0618
1999-05-03,1.0612
1999-05-04,1.059
1999-05-05,1.0583
1999-05-06,1.0581
1999-05-07,1.067
1999-05-10,1.0812
1999-05-11,1.0799
1999-05-12,1.0727
1999-05-13,1.0737
1999-05-14,1.0656
1999-05-17,1.0608
1999-05-18,1.071
1999-05-19,1.0664
1999-05-20,1.0692
1999-05-21,1.0648
1999-05-24,1.0636
1999-05-25,1.057
1999-05-26,1.0588
1999-05-27,1.0629
1999-05-28,1.0532
1999-05-31,1.046
1999-06-01,1.0484
1999-06-02,1.0456
1999-06-03,1.0443
1999-06-04,1.0355
1999-06-07,1.0396
1999-06-08,1.0319
1999-06-09,1.0288
1999-06-10,1.0388
1999-06-11,1.0451
1999-06-14,1.0474
1999-06-15,1.0528
1999-06-16,1.0429
1999-06-17,1.039
1999-06-18,1.0341
1999-06-21,1.0307
1999-06-22,1.0405
1999-06-23,1.034
1999-06-24,1.0318
1999-06-25,1.03
1999-06-28,1.0314
1999-06-29,1.0439
1999-06-30,1.0391
1999-07-01,1.0361
1999-07-02,1.0305
1999-07-05,1.0218
1999-07-06,1.026
1999-07-07,1.026
1999-07-08,1.026
1999-07-09,1.026
1999-07-12,1.0174
1999-07-13,1.0169
1999-07-14,1.0128
1999-07-15,1.0194
1999-07-16,1.019
1999-07-19,1.0204
1999-07-20,1.0214
1999-07-21,1.0208
1999-07-22,1.0409
1999-07-23,1.0476
1999-07-26,1.0498
1999-07-27,1.05
1999-07-28,1.0695
1999-07-29,1.0645
1999-07-30,1.0606
1999-08-02,1.0679
1999-08-03,1.0694
1999-08-04,1.0661
1999-08-05,1.0638
1999-08-06,1.0757
1999-08-09,1.0783
1999-08-10,1.0745
1999-08-11,1.0704
1999-08-12,1.0734
1999-08-13,1.0645
1999-08-16,1.0638
1999-08-17,1.0669
1999-08-18,1.0553
1999-08-19,1.0525
1999-08-20,1.0553
1999-08-23,1.0618
1999-08-24,1.0684
1999-08-25,1.0608
1999-08-26,1.0512
1999-08-27,1.0424
1999-08-30,1.0451
1999-08-31,1.0447
1999-09-01,1.0456
1999-09-02,1.0571
1999-09-03,1.0571
1999-09-06,1.072
1999-09-07,1.0678
1999-09-08,1.0588
1999-09-09,1.0569
1999-09-10,1.061
1999-09-13,1.0584
1999-09-14,1.0488
1999-09-15,1.0349
1999-09-16,1.0357
1999-09-17,1.0327
1999-09-20,1.038
1999-09-21,1.0387
1999-09-22,1.039
1999-09-23,1.0404
1999-09-24,1.0507
1999-09-27,1.0401
1999-09-28,1.0471
1999-09-29,1.0431
1999-09-30,1.0474
1999-10-01,1.0558
1999-10-04,1.0661
1999-10-05,1.0732
1999-10-06,1.0706
1999-10-07,1.0685
1999-10-08,1.0739
1999-10-11,1.073
1999-10-12,1.0621
1999-10-13,1.0643
1999-10-14,1.0669
1999-10-15,1.0783
1999-10-18,1.0765
1999-10-19,1.0857
1999-10-20,1.0862
1999-10-21,1.0822
1999-10-22,1.0765
1999-10-25,1.0795
1999-10-26,1.0739
1999-10-27,1.0684
1999-10-28,1.0614
1999-10-29,1.0614
1999-11-01,1.0614
1999-11-02,1.0614
1999-11-03,1.0541
1999-11-04,1.0511
1999-11-05,1.0511
1999-11-08,1.0511
1999-11-09,1.0395
1999-11-10,1.0395
1999-11-11,1.042
1999-11-12,1.042
1999-11-15,1.0411
1999-11-16,1.0318
1999-11-17,1.0306
1999-11-18,1.0342
1999-11-19,1.0404
1999-11-22,1.0314
1999-11-23,1.0306
1999-11-24,1.0303
1999-11-25,1.0308
1999-11-26,1.0231
1999-11-29,1.0192
1999-11-30,1.0097
1999-12-01,1.0097
1999-12-02,1.0053
1999-12-03,1.0101
1999-12-06,1.0029
1999-12-07,1.0001
1999-12-08,1.0223
1999-12-09,1.0223
1999-12-10,1.0239
1999-12-13,1.0178
1999-12-14,1.0126
1999-12-15,1.0116
1999-12-16,1.0051
1999-12-17,1.005
1999-12-20,1.0148
1999-12-21,1.0183
1999-12-22,1.0071
1999-12-23,1.0094
1999-12-24,1.007
1999-12-27,1.009
1999-12-28,1.0113
1999-12-29,1.0125
1999-12-30,1.0099
1999-12-31,1.0082
2000-01-03,1.003
2000-01-04,1.003
2000-01-05,1.0087
2000-01-06,1.0329
2000-01-07,1.0355
2000-01-10,1.0411
2000-01-11,1.0282
2000-01-13,1.0286
2000-01-14,1.0293
2000-01-17,1.0276
2000-01-18,1.019
2000-01-19,1.0103
2000-01-20,1.0082
2000-01-21,1.0105
2000-01-24,1.0084
2000-01-25,1.0126
2000-01-26,1.0036
2000-01-27,1.0016
2000-01-28,1.0024
2000-01-31,0.9958
2000-02-01,0.9847
2000-02-02,0.9809
2000-02-03,0.9705
2000-02-04,0.9722
2000-02-07,0.9742
2000-02-08,0.9845
2000-02-09,0.9774
2000-02-10,0.9896
2000-02-11,0.9915
2000-02-14,0.9862
2000-02-15,0.9811
2000-02-16,0.9802
2000-02-17,0.9771
2000-02-18,0.98
2000-02-21,0.9917
2000-02-22,0.9861
2000-02-23,0.9861
2000-02-24,1.0063
2000-02-25,1.0051
2000-02-28,0.9907
