Aeropuerto,Mes,Año,Cantidad Nacionales,Cantidad Extrajeros,Cantidad En Tránsito,Cantidad Exentos,Total Pasajeros
Aeropuerto Internacional Juan Santamaría,Diciembre,2019,98254,153319,1420,0,252993
Aeropuerto Internacional Juan Santamaría,Noviembre,2019,69338,122130,600,0,192068
Aeropuerto Internacional Juan Santamaría,Octubre,2019,69836,102038,531,0,172405
Aeropuerto Internacional Juan Santamaría,Setiembre,2019,72172,101211,456,0,173839
Aeropuerto Internacional Juan Santamaría,Agosto,2019,57089,156401,370,0,213860
Aeropuerto Internacional Juan Santamaría,Julio,2019,67462,151372,368,0,219202
Aeropuerto Internacional Juan Santamaría,Junio,2019,61487,136965,345,0,198797
Aeropuerto Internacional Juan Santamaría,Mayo,2019,62038,128220,182,0,190440
Aeropuerto Internacional Juan Santamaría,Abril,2019,74966,157030,199,0,232195
Aeropuerto Internacional Juan Santamaría,Marzo,2019,50288,206724,213,0,257225
Aeropuerto Internacional Juan Santamaría,Febrero,2019,50683,170380,114,0,221177
Aeropuerto Internacional Juan Santamaría,Enero,2019,83142,185336,76,0,268554
Aeropuerto Internacional Juan Santamaría,Diciembre,2018,94955,140736,230,0,235921
Aeropuerto Internacional Juan Santamaría,Noviembre,2018,64815,120440,429,0,185684
Aeropuerto Internacional Juan Santamaría,Octubre,2018,69615,93870,311,0,163796
Aeropuerto Internacional Juan Santamaría,Setiembre,2018,66628,100333,202,0,167163
Aeropuerto Internacional Juan Santamaría,Agosto,2018,53858,155950,245,0,210053
Aeropuerto Internacional Juan Santamaría,Julio,2018,66564,148868,188,0,215620
Aeropuerto Internacional Juan Santamaría,Junio,2018,59374,134066,289,0,193729
Aeropuerto Internacional Juan Santamaría,Mayo,2018,57026,127450,1270,0,185746
Aeropuerto Internacional Juan Santamaría,Abril,2018,58915,161284,924,0,221123
Aeropuerto Internacional Juan Santamaría,Marzo,2018,61855,189397,798,0,252050
Aeropuerto Internacional Juan Santamaría,Febrero,2018,46119,161065,558,0,207742
Aeropuerto Internacional Juan Santamaría,Enero,2018,80747,165691,436,0,246874
Aeropuerto Internacional Juan Santamaría,Diciembre,2017,94701,134992,974,0,230667
Aeropuerto Internacional Juan Santamaría,Noviembre,2017,60708,117062,1029,0,178799
Aeropuerto Internacional Juan Santamaría,Octubre,2017,67918,90238,907,0,159063
Aeropuerto Internacional Juan Santamaría,Setiembre,2017,66218,97889,292,0,164399
Aeropuerto Internacional Juan Santamaría,Agosto,2017,55641,142777,249,0,198667
Aeropuerto Internacional Juan Santamaría,Julio,2017,72454,141006,261,0,213721
Aeropuerto Internacional Juan Santamaría,Junio,2017,57548,126756,406,0,184710
Aeropuerto Internacional Juan Santamaría,Mayo,2017,56384,119364,372,0,176120
Aeropuerto Internacional Juan Santamaría,Abril,2017,75897,148746,267,0,224910
Aeropuerto Internacional Juan Santamaría,Marzo,2017,59057,178954,441,0,238452
Aeropuerto Internacional Juan Santamaría,Febrero,2017,45407,145129,249,0,190785
Aeropuerto Internacional Juan Santamaría,Enero,2017,83350,153631,309,0,237290
Aeropuerto Internacional Juan Santamaría,Diciembre,2016,94613,124247,696,0,219556
Aeropuerto Internacional Juan Santamaría,Noviembre,2016,57809,102438,426,0,160673
Aeropuerto Internacional Juan Santamaría,Octubre,2016,59788,83165,527,0,143480
Aeropuerto Internacional Juan Santamaría,Setiembre,2016,61263,84513,385,0,146161
Aeropuerto Internacional Juan Santamaría,Agosto,2016,47848,138666,429,0,186943
Aeropuerto Internacional Juan Santamaría,Julio,2016,71237,134607,514,0,206358
Aeropuerto Internacional Juan Santamaría,Junio,2016,49813,113257,464,0,163534
Aeropuerto Internacional Juan Santamaría,Mayo,2016,50182,108096,339,0,158617
Aeropuerto Internacional Juan Santamaría,Abril,2016,50743,131984,359,0,183086
Aeropuerto Internacional Juan Santamaría,Marzo,2016,54733,161254,381,0,216368
Aeropuerto Internacional Juan Santamaría,Febrero,2016,39922,141814,366,0,182102
Aeropuerto Internacional Juan Santamaría,Enero,2016,65559,149212,351,0,215122
Aeropuerto Internacional Juan Santamaría,Diciembre,2015,78466,122606,521,0,201593
Aeropuerto Internacional Juan Santamaría,Noviembre,2015,52292,100505,665,0,153462
Aeropuerto Internacional Juan Santamaría,Octubre,2015,49628,76395,617,0,126640
Aeropuerto Internacional Juan Santamaría,Setiembre,2015,51761,79581,495,0,131837
Aeropuerto Internacional Juan Santamaría,Agosto,2015,40342,129884,726,0,170952
Aeropuerto Internacional Juan Santamaría,Julio,2015,55015,121514,1172,0,177701
Aeropuerto Internacional Juan Santamaría,Junio,2015,41610,105053,846,0,147509
Aeropuerto Internacional Juan Santamaría,Mayo,2015,45060,96530,1713,0,143303
Aeropuerto Internacional Juan Santamaría,Abril,2015,42523,122819,1907,0,167249
Aeropuerto Internacional Juan Santamaría,Marzo,2015,45565,143845,1909,0,191319
Aeropuerto Internacional Juan Santamaría,Febrero,2015,32709,122744,1659,0,157112
Aeropuerto Internacional Juan Santamaría,Enero,2015,52436,137152,2581,0,192169
Aeropuerto Internacional Juan Santamaría,Diciembre,2014,60798,104898,2158,0,167854
Aeropuerto Internacional Juan Santamaría,Noviembre,2014,39118,85296,2636,0,127050
Aeropuerto Internacional Juan Santamaría,Octubre,2014,39352,67279,1927,0,108558
Aeropuerto Internacional Juan Santamaría,Setiembre,2014,42932,71728,2440,0,117100
Aeropuerto Internacional Juan Santamaría,Agosto,2014,33387,116790,2050,0,152227
Aeropuerto Internacional Juan Santamaría,Julio,2014,40989,111423,2269,0,154681
Aeropuerto Internacional Juan Santamaría,Junio,2014,41290,96394,2186,0,139870
Aeropuerto Internacional Juan Santamaría,Mayo,2014,35077,93133,2203,0,130413
Aeropuerto Internacional Juan Santamaría,Abril,2014,41355,111881,3001,0,156237
Aeropuerto Internacional Juan Santamaría,Marzo,2014,31389,146267,2555,0,180211
Aeropuerto Internacional Juan Santamaría,Febrero,2014,29900,120936,1683,0,152519
Aeropuerto Internacional Juan Santamaría,Enero,2014,49453,132326,1834,0,183613
Aeropuerto Internacional Juan Santamaría,Diciembre,2013,55599,107738,2365,0,165702
Aeropuerto Internacional Juan Santamaría,Noviembre,2013,37553,83521,2504,0,123578
Aeropuerto Internacional Juan Santamaría,Octubre,2013,36303,67254,2296,0,105853
Aeropuerto Internacional Juan Santamaría,Setiembre,2013,40120,69996,2286,0,112402
Aeropuerto Internacional Juan Santamaría,Agosto,2013,32744,112790,2011,0,147545
Aeropuerto Internacional Juan Santamaría,Julio,2013,40899,110324,2311,0,153534
Aeropuerto Internacional Juan Santamaría,Junio,2013,35732,94980,2890,0,133602
Aeropuerto Internacional Juan Santamaría,Mayo,2013,32242,85302,2791,0,120335
Aeropuerto Internacional Juan Santamaría,Abril,2013,31420,108496,2180,0,142096
Aeropuerto Internacional Juan Santamaría,Marzo,2013,35259,133010,4185,0,172454
Aeropuerto Internacional Juan Santamaría,Febrero,2013,27828,109628,2151,0,139607
Aeropuerto Internacional Juan Santamaría,Enero,2013,43173,122939,1861,0,167973
Aeropuerto Internacional Juan Santamaría,Diciembre,2012,50781,92365,2481,0,145627
Aeropuerto Internacional Juan Santamaría,Noviembre,2012,36664,79305,3014,0,118983
Aeropuerto Internacional Juan Santamaría,Octubre,2012,37254,60425,2460,0,100139
Aeropuerto Internacional Juan Santamaría,Setiembre,2012,39582,67775,2482,0,109839
Aeropuerto Internacional Juan Santamaría,Agosto,2012,31762,105745,2204,0,139711
